Epoch,Train Loss,Val Accuracy,Val AUC,Learning Rate
0,0.6098084393143653,0.9137055837563451,0.9820103092783504,0.001
1,0.09865932032465935,0.9467005076142132,0.9895876288659793,0.0009990143508499217
2,0.04360435241833329,0.9517766497461929,0.9916494845360825,0.0009960612933065818
3,0.021756738321855665,0.9593908629441624,0.9919845360824743,0.00099115248173898
4,0.026428410345688463,0.9390862944162437,0.9900773195876289,0.0009843072889837512
5,0.029074830608442424,0.949238578680203,0.9879123711340206,0.0009755527298894294
6,0.020636278111487626,0.949238578680203,0.9922938144329897,0.0009649233547011816
7,0.00973823465174064,0.9619289340101523,0.9924226804123711,0.0009524611127067769
8,0.009333619942190126,0.9568527918781726,0.9923969072164949,0.0009382151866819099
9,0.018944419623585416,0.9543147208121827,0.9907474226804124,0.0009222417987882566
10,0.01904159567086026,0.9644670050761421,0.9929123711340206,0.0009046039886902864
11,0.032718913021963086,0.916243654822335,0.98659793814433,0.0008853713647665069
12,0.03466400225181133,0.949238578680203,0.9901030927835052,0.0008646198293969952
13,0.0100261089974083,0.9467005076142132,0.99,0.0008424312794113801
14,0.007501686154864728,0.949238578680203,0.990979381443299,0.0008188932828794706
15,0.005174484719173051,0.9517766497461929,0.9920876288659795,0.0007940987335200906
16,0.0038522566470783203,0.9619289340101523,0.9912371134020619,0.0007681454840920089
17,0.00865032004949171,0.9670050761421319,0.9912113402061855,0.0007411359602138069
18,0.0034607935641543007,0.9644670050761421,0.9927319587628866,0.0007131767561367538
19,0.005761122415278806,0.9619289340101523,0.991701030927835,0.0006843782140659967
20,0.0019286439043935389,0.9593908629441624,0.9906443298969072,0.0006548539886902863
21,0.0008586177132383454,0.9619289340101523,0.9902577319587629,0.0006247205986388449
22,0.00064439977373695,0.9619289340101523,0.9903092783505154,0.0005940969666355696
23,0.0004869529769348446,0.9619289340101523,0.9906443298969072,0.0005631039501653701
24,0.000528081911324989,0.9644670050761421,0.9908762886597937,0.0005318638645048921
25,0.0017522017215378582,0.9644670050761421,0.9911855670103092,0.0005005
26,0.0024617673228203786,0.9593908629441624,0.9910567010309279,0.00046913613549510796
27,0.0022675380912551193,0.9568527918781726,0.9906185567010309,0.00043789604983463003
28,0.00041296812072687315,0.9619289340101523,0.9903092783505154,0.00040690303336443054
29,0.0017648500026552938,0.9593908629441624,0.9907989690721649,0.000376279401361155
30,0.00036099079210544005,0.9568527918781726,0.9906701030927835,0.00034614601130971394
31,0.0019789923126154463,0.9543147208121827,0.9898969072164948,0.00031662178593400354
32,0.0011860701841578702,0.9517766497461929,0.9901546391752577,0.00028782324386324626
33,0.0003848350064799888,0.9568527918781726,0.9902835051546391,0.00025986403978619317
34,0.0036169169704953676,0.9670050761421319,0.9913659793814433,0.00023285451590799105
35,0.0007995851427403977,0.9670050761421319,0.9920103092783504,0.0002069012664799097
36,0.00033448074289481154,0.9670050761421319,0.992242268041237,0.00018210671712052946
37,0.0004342940438800724,0.9670050761421319,0.9922680412371134,0.00015856872058861996
38,0.0010008539541013306,0.9670050761421319,0.991881443298969,0.00013638017060300502
39,0.0003946184318556334,0.9695431472081218,0.9920103092783505,0.0001156286352334933
40,0.0011433992479578591,0.9720812182741116,0.9922680412371134,9.639601130971378e-05
41,0.0001866042276014923,0.9695431472081218,0.9922938144329897,7.875820121174356e-05
42,0.00017079125096643112,0.9720812182741116,0.992319587628866,6.278481331809012e-05
43,0.00026154179809964264,0.9695431472081218,0.992422680412371,4.853888729322332e-05
44,0.0006787525799154537,0.9670050761421319,0.9922680412371134,3.607664529881844e-05
45,0.00023231051069160457,0.9670050761421319,0.992422680412371,2.5447270110570804e-05
46,0.0013303809867647942,0.9720812182741116,0.9923453608247422,1.6692711016248827e-05
47,0.0012945351133748773,0.9695431472081218,0.9923969072164949,9.84751826101998e-06
48,0.0009639203669576091,0.9670050761421319,0.9924742268041237,4.938706693418354e-06
49,0.001758138779332512,0.9695431472081218,0.9923969072164948,1.9856491500783555e-06
